"Symbol","Name","Industry Name","RS Rating","EPS Rating","Comp Rating","A/D Rating","SMR Rating","Ind Group Rank","Current Price","Volume (1000s)","Price % Chg","Vol % Chg vs 50-Day","Sector"
"SIRI","Sirius XM Holdings Inc.","Telecom/Cable Services","79","25","49","B","C","123","27.86","4403","1.46","-26.3","TELECOM"
"NOK","Nokia Corp. ADR","Telecom-Infrastructure","97","66","89","C+","C","1","13.98","123972","-5.67","6","TELECOM"
"OOMA","Ooma Inc.","Telecom-Consumer Prods","85","98","88","D","C","41","17.36","236","1.22","-42.3","TELECOM"
"HLIT","Harmonic Inc.","Telecom - Equipment","92","65","87","B","C","24","14.8","1532","-1.79","-48.2","TELECOM"
"SATS","EchoStar Corp.","Telecom - Equipment","85","19","50","E","D","24","120.97","22431","2.63","158.6","TELECOM"
"VIAV","Viavi Solutions Inc.","Telecom - Equipment","98","92","91","D-","C","24","50.1","5927","-7.31","-7.4","TELECOM"
"HR","Healthcare Realty Trust Inc.","REITs","72","52","76","B","D","39","20.5","3175","-0.05","-26.4","REAL EST"
"ABSI","Absci Corp.","Medical - Pharmaceuticals","98","35","73","A","E","87","7","3836","-3.71","-21.9","MEDICAL"
"NDSN","Nordson Corp.","Machinery-Gen Industrial","72","75","82","D","A","86","292.9","242","0.23","-39.3","MACHINE"
"VELO","Velo3D Inc.","Machinery-Gen Industrial","98","75","86","A+","E","86","25.04","4624","8.45","27.7","MACHINE"
"ADEA","Adeia Inc.","Internet-Content","95","80","97","B","A","56","31.8","1453","-1.67","-31.1","INTERNET"
"FCEL","FuelCell Energy Inc.","Energy-Alternative/Other","99","52","80","C+","D","33","19.75","14339","12.86","53.7","ENERGY"
"FLNC","Fluence Energy Inc.","Energy-Alternative/Other","90","29","63","C-","D","33","23.92","10762","-1.08","-4.2","ENERGY"
"HYLN","Hyliion Holdings Corp.","Energy-Alternative/Other","99","35","79","B+","E","33","7.43","5104","0.27","30.1","ENERGY"
"TE","T1 Energy Inc.","Energy-Alternative/Other","88","47","74","B-","D","33","8.63","32148","-3.25","0.8","ENERGY"
"LFUS","Littelfuse Inc.","Electronic-Parts","94","66","92","B-","C","3","469.19","299","-1.62","-3.5","ELECTRNCS"
"ADI","Analog Devices Inc.","Elec-Semiconductor Mfg","91","85","97","C","A","10","416","4351","-2.71","6.8","CHIPS"
"AXTI","AXT Inc.","Elec-Semiconductor Mfg","99","67","76","E","D","10","93.04","11496","-15.98","1.2","CHIPS"
"MRAM","Everspin Technologies Inc.","Elec-Semiconductor Mfg","99","38","75","C","C","10","26.16","2357","-6.07","-37.4","CHIPS"
"ACMR","ACM Research Inc. Cl A","Elec-Semiconductor Equip","98","48","95","B+","A","4","91.18","1364","-4.23","-13.6","CHIPS"
"LPTH","Lightpath Technologies Inc. Cl A","Elec-Scientific/Msrng","95","19","65","D","C","8","14.33","2606","-4.4","-29.7","ELECTRNCS"
"GLW","Corning Inc.","Elec-Misc Products","95","90","92","E","A","19","177.42","13480","-5.57","0.8","ELECTRNCS"
"OUST","Ouster Inc.","Elec-Misc Products","95","60","89","B","C","19","42.73","2636","-5.42","-35.7","ELECTRNCS"
"DAVE","Dave Inc.","Computer-Tech Services","89","81","95","A+","A","126","298.52","513","-3.31","-14.3","BUSINS SVC"
"GRRR","Gorilla Technology Group Inc.","Computer-Tech Services","73","5","33","A-","D","126","17.7","844","1.2","-31.3","BUSINS SVC"
"HPE","Hewlett Packard Enterprise Co.","Computer-Tech Services","97","87","89","A-","B","126","48.38","24311","-1.02","-3.2","BUSINS SVC"
"IBM","International Business Machines Corp.","Computer-Tech Services","46","84","72","B","A","126","270.81","4916","0.78","-47.7","BUSINS SVC"
"UIS","Unisys Corp.","Computer-Tech Services","73","26","39","B","E","126","3.77","766","-0.26","-13.1","BUSINS SVC"
"DELL","Dell Technologies Inc. Cl C","Computer-Hardware/Perip","99","97","99","A-","C","2","404.08","6324","-1.22","-25.2","COMPUTER"
"BB","BlackBerry Ltd.","Computer Sftwr-Security","97","79","95","A-","D","7","9.17","22520","-0.76","-30.6","SOFTWARE"
"OKTA","Okta Inc. Cl A","Computer Sftwr-Security","84","87","96","A","B","7","116.27","3124","-1.57","-23.7","SOFTWARE"
"SVCO","Silvaco Group Inc.","Computer Sftwr-Design","98","36","64","A","D","131","11.98","659","-2.2","35.7","SOFTWARE"
"MDB","MongoDB Inc.","Computer Sftwr-Database","72","94","88","B","C","60","348.81","1069","-1.52","-49.4","SOFTWARE"
"DUOT","Duos Technologies Group Inc.","Comp Sftwr - Enterprise","87","50","63","B-","D","122","11.32","514","-7.44","-19.1","SOFTWARE"
"SNOW","Snowflake Inc.","Comp Sftwr - Enterprise","71","95","82","A-","C","122","238.32","5665","-1.02","-52.2","SOFTWARE"
"FA","First Advantage Corp.","Comml Svcs-Staffing","74","84","94","A+","C","16","16.71","2832","-1.65","121.9","BUSINS SVC"
"TBLA","Taboola.com Ltd.","Comml Svcs-Advertising","89","79","94","A","C","67","5.04","3471","2.02","36.9","BUSINS SVC"
"GIII","G-III Apparel Group Ltd.","Apparel - Clothing & Shoes","85","17","69","A","C","79","34.86","656","0.66","33.1","CONSUMER"
